state,total_2000,total_2010,total_2011,total_2012,frl_2000,frl_2010,frl_2011,frl_2012,pc_frl_2000,pc_frl_2010,pc_frl_2011,pc_frl_2012
Alabama ....................,728351,730427,731556,740475,335143,402386,420447,429604,46.01394108060537,55.089146485548866,57.47297541131506,58.01735372564908
Alaska ..................,105333,132104,131166,131483,32468,50701,53238,53082,30.82414817768411,38.37961000423908,40.58826220209505,40.37175908672604
Arizona .....................,877696,1067210,1024454,990378,274277,482044,511885,514193,31.24965819600408,45.16861723559562,49.96661636344824,51.91886330269857
Arkansas ..................,449959,482114,483114,486157,205058,291608,294324,298573,45.5725966143582,60.48527941524205,60.922266794172806,61.41493385881516
California .................,6050753,6169427,6202862,6178788,2820611,3335885,3353963.715409875,3478407,46.61586747963435,54.07122898123278,54.07122898123278,56.29594347629341
Colorado ....................,724349,842864,853610,863121,195148,336426,348896,358876,26.941156818053173,39.91462442339452,40.872998207612376,41.57887480434377
Connecticut ...............,562179,552919,543883,549295,143030,190554,194339,201085,25.442074499403216,34.46327581435979,35.73176583934413,36.60783367771416
Delaware ..................,114676,128342,128470,127791,37766,61564,62774,66413,32.93278454079319,47.96870860669149,48.86276951817545,51.97001353772958
District of Columbia ........,68380,71263,72329,75411,47839,52027,45199,46416,69.9605147704007,73.00703029622665,62.49084046509699,61.550702152205915
Florida ..................,2434755,2641555,2668037,2691881,1079009,1479519,1535670,1576379,44.31694359391397,56.009395980776475,57.5580473584137,58.560501002830364
Georgia ............................,1444937,1676419,1682447,1702766,624511,961954,986865,1017193,43.22063868528524,57.3814780195166,58.65652825913684,59.73768562444869
Hawaii .....................,184357,179601,182705,184760,80657,84106,90021,93457,43.75044072099242,46.8293606383038,49.2712295777346,50.58291838060186
Idaho ........................,244755,275815,276969,279277,85824,124104,135642,134560,35.065269350983634,44.995377336257995,48.97371185944998,48.18155451397716
Illinois .................,2048792,1973401,2068926,2031835,759973,921471,1014713,1027336,37.09371180676223,46.69456435868838,49.045398433776754,50.56197968831131
Indiana ....................,977219,1038817,1037779,1039797,285267,485728,497663,509604,29.191716493436985,46.75780238482813,47.95462232324994,49.00995098081645
Iowa ........................,492021,484856,485358,490630,131553,188486,194146,200417,26.737273409061807,38.874634943158384,40.00057689375677,40.848908546154945
Kansas .....................,462594,479953,481519,470283,154693,228852,235362,233322,33.440338612260426,47.68216887903608,48.87906811569221,49.61310530042549
Kentucky .................,626723,673128,677628,675167,298334,380773,368355,373837,47.60221022684663,56.56769589142036,54.35947156847119,55.369560419866495
Louisiana ...................,741162,695772,702301,693980,433068,460546,471347,459617,58.43095031855384,66.19208591320145,67.11467020551018,66.22914205020317
Maine .....................,198532,183477,178989,179323,60162,78915,76984.67347405943,80636,30.30342715532005,43.010840595824,43.010840595824,44.96690329740189
Maryland ....................,852911,852202,854060,856775,255872,341557,356631,366695,29.99984758081441,40.07934738477497,41.75713650094841,42.79945143123924
Massachusetts ..............,979590,955301,952044,952970,237871,326849,334511,352988,24.282710113414797,34.21424242202196,35.1360861472789,37.04083024649255
Michigan .....................,1703260,1551861,1532809,1511030,504044,719800,735010,724340,29.5928983243897,46.38302012873576,47.95183222436716,47.93683778614587
Minnesota ...................,854154,837930,839645,845291,218867,306136,311645,323459,25.62383364124034,36.53479407587746,37.116281285543295,38.26599360456932
Mississippi .............,497421,489462,487870,491220,319670,345734,348664,352084,64.26548135281783,70.63551409506765,71.46657921167524,71.67542038190628
Missouri ..................,912247,902375,885138,898402,315608,406358,411750,408726,34.596770392229296,45.03205430114974,46.518170048060306,45.494778506726384
Montana .....................,154438,140497,142349,142908,47415,57836,57349,60262,30.70164078788899,41.16529178558973,40.28760300388482,42.16838805385283
Nebraska ....................,286138,298276,301296,303332,87045,127114,132010,133912,30.42063619652056,42.61623462833081,43.81405660878339,44.14700723959226
Nevada ....................,282621,436840,438745,443158,92978,219904,237212,228660,32.898475343304284,50.339712480542076,54.066029242498495,51.59784997675773
New Hampshire ..................,206919,194001,190784,187940,31212,48904,50123,50596,15.084163368274542,25.208117483930497,26.27211925528346,26.921357880174522
New Jersey .................,1312983,1356882,1316792,1363967,357728,444735,467798,501804,27.245440344619848,32.77624730816681,35.52558034981986,36.79003964172154
New Mexico .................,320303,335810,333331,335922,174939,227077,228227,229249,54.616722291080634,67.62067835978678,68.46857928005497,68.24471156994778
New York ................,2859927,2722761,2685751,2708341,1236945,1315564,1334698,1297148,43.25092913210722,48.31727793956209,49.69552277928966,47.89455980616916
North Carolina ...........,1194371,1487699,1497711,1506080,470316,747978,784268,809732,39.37771429480455,50.277509092901184,52.36444147101811,53.76420907255922
North Dakota ................,109201,94273,94018,98993,31840,29929,30870,30330,29.157242149797163,31.74715984428203,32.8341381437597,30.638529997070503
Ohio .......................,1745237,1747851,1738642,1656390,494829,745121,758106,674438,28.353111926918807,42.63069334857491,43.60334099831938,40.7173431377876
Oklahoma ....................,623110,659376,665243,665404,300179,398917,406908,410378,48.174319141082634,60.49916891121303,61.16682174784251,61.67350962723398
Oregon ......................,535617,553468,540266,533966,186203,280174,287214,286635,34.76420651323613,50.621535481726134,53.16159077195307,53.68038414430881
Pennsylvania ...............,1798977,1742608,1732035,1716262,510121,686641,696531,712584,28.3561713129184,39.40306712697291,40.21460305363344,41.519534896187174
Rhode Island ..............,157347,142575,141456,141124,52209,61127,62082,65184,33.18080420980381,42.8735753112397,43.88785205293519,46.18916697372523
South Carolina .............,677411,722203,726003,735998,320254,395033,412345,427396,47.276173548997576,54.69833274024063,56.79659725923998,58.07026649528939
South Dakota .............,128598,125883,128016,130294,37857,46718,49469,51678,29.438249428451453,37.112239142696,38.64282589676291,39.66260917617082
Tennessee ...............,909161,987078,964832,982312,436298,542953,554768,575522,47.989080041928766,55.00608867789577,57.498922092136254,58.588513629071
Texas ....................,4059353,4916401,5000193,5077507,1823029,2471212,2552819,3059657,44.90934885436177,50.26465497830629,51.05440929980103,60.25904050944686
Utah ....................,470265,585552,598294,600146,135428,223943,284910,362933,28.79823078477029,38.24476733065551,47.62040067257903,60.474117964628604
Vermont ....................,102049,85144,83451,83568,23986,31339,32748,32581,23.50439494752521,36.80705628112374,39.24219002768091,38.9874114493586
Virginia ....................,1067710,1250206,1227099,1235561,320233,458879,480821,487463,29.992507328769047,36.704271136116766,39.18355405717061,39.45276679985852
Washington ..................,1004770,1043466,1041934,1050904,326295,418065,463246,474940,32.47459617623934,40.06503326414085,44.46020573280073,45.1934715254676
West Virginia ...........,286285,282879,282870,283044,143446,145605,149407,148493,50.10601323855598,51.47253772814525,52.81825573585039,52.462867963991464
Wisconsin ................,859276,872164,869670,871376,219276,342660,354527,360803,25.5186924806465,39.288482441375706,40.76569273402555,41.40612089385065
Wyoming ...................,89895,88779,89363,91533,43483,32968,33145,34617,48.37087713443462,37.13490803005215,37.09029464095879,37.819147192815706
